STRUCTURE,STRUCTURE_ID,ACTION,FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,COMP_BREAKDOWN_1_ID,COMP_BREAKDOWN_1_NAME,COMP_BREAKDOWN_2_ID,COMP_BREAKDOWN_2_NAME,COMP_BREAKDOWN_3_ID,COMP_BREAKDOWN_3_NAME,TIME_PERIOD,OBS_VALUE,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_ID,UNIT_MULT_NAME,UNIT_TYPE_ID,UNIT_TYPE_NAME,TIME_FORMAT_ID,TIME_FORMAT_NAME,COMMENT_OBS,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,TRANSACT,Transactions,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,64631.0,IMF_FAS,Financial Access Survey (FAS),0,Units,NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,TRANSACT,Transactions,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,140166.0,IMF_FAS,Financial Access Survey (FAS),0,Units,NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,15563.2265996257,IMF_FAS,Financial Access Survey (FAS),6,Millions,CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,4448.14873046,IMF_FAS,Financial Access Survey (FAS),6,Millions,CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,10P3AD,Per 1 000 adults,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,3.05519266939063,IMF_FAS,Financial Access Survey (FAS),0,Units,NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,10P3AD,Per 1 000 adults,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,6.40478978808757,IMF_FAS,Financial Access Survey (FAS),0,Units,NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,1.172202997156,IMF_FAS,Financial Access Survey (FAS),0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,0.302678274330959,IMF_FAS,Financial Access Survey (FAS),0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2008,63422.0,IMF_FAS,Financial Access Survey (FAS),6,Millions,CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_FAS_FCMIBT,"Use of Financial Services, Mobile and internet banking transactions (during the reference year, for commercial banks only)",_Z,Not applicable,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,78156.0,IMF_FAS,Financial Access Survey (FAS),6,Millions,CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
